cluster,Planck_mass,CNN_mass,err+,err-,redshift
PSZ2G257.32-22.19.fits,14.72481062371836,14.882651999999998,0.06509018,0.05409527,0.2026000022888184
PSZ2G257.51+57.54.fits,14.180769315601587,14.264626999999999,0.08325672,0.07619381,0.046799998730421066
PSZ2G257.72+17.85.fits,14.729155914192164,14.732270999999999,0.06449604,0.056300163,0.296999990940094
PSZ2G258.33-38.54.fits,14.717940329873825,14.754316000000001,0.0639925,0.056803703,0.5615389943122864
PSZ2G259.22-19.10.fits,14.488480303648295,14.575464000000002,0.07519245,0.08425808,0.1570000052452087
PSZ2G259.30+84.41.fits,14.689434352257845,14.741226000000001,0.06378746,0.055397987,0.32866939902305603
PSZ2G259.58-51.07.fits,14.687940932454598,14.788828,0.06629181,0.056114197000000005,0.5299999713897705
PSZ2G259.98-18.44.fits,14.696537169955162,14.741838000000001,0.06439972,0.056396484000000004,0.3129999935626984
PSZ2G259.98-63.43.fits,14.87743508576674,14.927856,0.06519699,0.05559826,0.2836000025272369
PSZ2G260.52-54.50.fits,14.472968753698346,14.565588,0.07497978,0.08447075,0.1641969978809357
PSZ2G260.63-28.94.fits,14.77520936041772,14.789401999999999,0.06686592,0.055540085,0.6008999943733215
PSZ2G260.76-31.27.fits,14.491663289214475,14.702972,0.06579876,0.05660724599999999,0.25
PSZ2G260.85-62.19.fits,14.5748156975525,14.672556,0.07242584,0.061254499999999996,0.1899999976158142
PSZ2G261.09-66.14.fits,14.707459057277381,14.776615,0.06535339,0.05544281,0.5600000023841858
PSZ2G261.28-36.47.fits,14.620949448583994,14.878855,0.06451416,0.05306053,0.4607200026512146
PSZ2G261.88+62.85.fits,14.382170714019066,14.391644,0.089476585,0.07802677,0.09740000218153
PSZ2G262.01-32.98.fits,14.480627793756206,14.660694,0.07667065,0.06506348,0.2300000041723251
PSZ2G262.23+34.48.fits,14.575315877880184,14.742095999999998,0.06465721,0.056138992,0.2099999934434891
PSZ2G262.27-35.38.fits,14.942488751143992,14.999224,0.060865402,0.071204185,0.295199990272522
PSZ2G262.36-25.15.fits,14.449987111775936,14.507057000000001,0.088926315,0.09629345,0.05139999836683273
PSZ2G262.73-40.92.fits,14.872818548382506,14.928139000000002,0.06386852,0.05531597,0.4210000038146973
PSZ2G262.83+25.77.fits,14.57185513103548,14.571094500000001,0.07565498,0.08379555,0.1801239997148514
PSZ2G262.95+45.74.fits,14.521386509201474,14.592331,0.07917404,0.08349705,0.153999999165535
